Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,Average Cost,Average Faculty Salary,% Undergrads with Pell Grant,Completion Rate,% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Average Age of Entry,Median Family Income,Poverty Rate,Median Earnings 8 years After Entry
Abilene Christian University,Private,Southwest,Mid-size City,0.4894,24,1087,3647,0.7069,0.076,0.1206,0.0099,0.0036,39811,5508,0.2347,0.5637,0.0381,7.5,20698.5,20.22999954,75873.5,7.800000191,37200
Adams State University,Public,Rocky Mountains,Remote Town,0.526,20,939,2227,0.5123,0.0768,0.3026,0.0112,0.0153,17759,5986,0.5029,0.227,0.2106,9.3,11000,24.12999916,34243,11.84000015,30700
Adelphi University,Private,Mid-Atlantic,Large Suburb,0.6814,22,1098,5000,0.5296,0.1062,0.1336,0.0756,0.0016,41559,11315,0.2951,0.6251,0.1562,3.7,21325,23.12999916,54115,7.46999979,49400
Adrian College,Private,Great Lakes,Distant Town,0.5628,22,1007,1616,0.7605,0.1002,0.0217,0.0056,0.0037,40199,7453,0.4368,0.5445,0.023,7.7,14250,19.62999916,71008.5,5.710000038,33800
Adventist University of Health Sciences,Private,Southeast,Mid-size City,0.1336,19,884,2064,0.4748,0.1434,0.2016,0.0562,0.0039,21358,6539,0.3595,0.3953,0.6056,5.4,15236,28.70999908,49657.5,8.300000191,51800
AIB College of Business,Private,Great Plains,Mid-size City,0.6887,,,1007,0.6306,0.0497,0.0586,0.0189,0.006,22469,4706,0.3635,0.6054,0.3209,7.9,13125,22.76000023,53783,5.639999866,34200
Alabama A & M University,Public,Southeast,Mid-size City,0.8989,17,823,4051,0.0279,0.9501,0.0089,0.0022,0.0012,18888,7079,0.7115,0.2914,0.1049,16.3,19500,20.62999916,29039,14.88000011,27000
Alabama State University,Public,Southeast,Mid-size City,0.5125,17,830,5354,0.0161,0.9285,0.0114,0.0015,0.0009,17400,6557,0.8265,0.2517,0.127,19.1,15854.5,20.88999939,24029.5,16.95999908,22400
Albany College of Pharmacy and Health Sciences,Private,Mid-Atlantic,Small City,0.634,27,1195,1075,0.6633,0.0381,0.0484,0.1284,0.0028,40718,8530,0.2215,0.7235,0.1039,1,24930.5,21.05999947,80225,7.650000095,125600
Albany State University,Public,Southeast,Small City,0.1992,19,887,3566,0.0443,0.91,0.0095,0.0017,0.0014,19025,5607,0.7229,0.4249,0.2396,18,24500,22.45999908,29794,14.09000015,27900
Albertus Magnus College,Private,New England,Mid-size City,0.6821,,830,1278,0.4476,0.277,0.1354,0.0141,0.0023,41520,7601,0.5811,0.6063,0.5133,7,26313,29.63999939,50062.5,9.180000305,48900
Albion College,Private,Great Lakes,Fringe Town,0.5639,25,1143,1284,0.8178,0.0343,0.0335,0.0156,0.0031,45690,6969,0.2366,0.736,0.013,5.3,22500,19.20999908,85027.5,5.510000229,40800
Albright College,Private,Mid-Atlantic,Small City,0.6231,23,1033,2333,0.6215,0.1582,0.0883,0.0257,0.006,46170,6340,0.4075,0.5371,0.2452,6.7,24562.5,23.62999916,66577.5,6.139999866,41700
Alcorn State University,Public,Southeast,Remote Rural,0.8291,18,851,3157,0.0326,0.9328,0.006,0.0016,0.0003,20330,6431,0.7918,0.3463,0.254,15.8,19696.5,22.82999992,21250,22.07999992,26200
Alderson Broaddus University,Private,Southeast,Distant Town,0.4321,22,989,1032,0.7403,0.1609,0.0397,0.0116,0.0068,33057,4924,0.4818,0.4575,0.0722,9.9,9500,21.69000053,48013,13.40999985,43500
Alfred University,Private,Mid-Atlantic,Remote Town,0.698,25,1106,1905,0.6751,0.0819,0.0688,0.0163,0.001,38830,6408,0.3804,0.6216,0.0311,6.9,21500,19.87999916,69334,7.409999847,35400
Allegheny College,Private,Mid-Atlantic,Distant Town,0.6487,26,1182,2126,0.802,0.0437,0.0616,0.0254,0.0005,50044,8108,0.2621,0.7917,0.0088,2.6,27000,19.40999985,85933,6.050000191,42200
Alma College,Private,Great Lakes,Distant Town,0.6791,25,1100,1385,0.8657,0.0217,0.0303,0.0166,0.0087,43157,7256,0.306,0.6118,0.0113,7.8,21500,19.51000023,74312,6.119999886,38000
Alvernia University,Private,Mid-Atlantic,Small City,0.7762,20,976,2169,0.7045,0.1415,0.0742,0.0143,0.0005,39999,6152,0.346,0.5132,0.3235,6.9,22500,25.30999947,53135,8.489999771,40400
Alverno College,Private,Great Lakes,Large City,0.7887,20,950,1833,0.5428,0.1768,0.1811,0.0475,0.012,30496,5550,0.6102,0.3852,0.3464,8.3,25500,24.29000092,38705,10.02000046,34500
American International College,Private,New England,Mid-size City,0.6779,19,885,1513,0.4382,0.2538,0.0826,0.0152,0.004,40803,5700,0.5027,0.4487,0.2102,6,20726,22.63999939,49259,10.44999981,36100
American University,Private,Mid-Atlantic,Large City,0.4312,28,1258,6829,0.5671,0.064,0.1012,0.0638,0.0018,55159,11074,0.1565,0.7989,0.0252,3.3,19500,20.04999924,86431,5.340000153,51600
Amherst College,Private,New England,Large Suburb,0.1428,32,1434,1785,0.4174,0.1165,0.1283,0.1255,0.0011,59060,11690,0.1998,0.9578,0.0123,4.5,10453,19.32999992,85922,6.96999979,54000
Anderson University (Great Lakes),Private,Great Lakes,Small City,0.5545,23,1053,1862,0.811,0.0575,0.0269,0.007,0.0032,37937,6395,0.3358,0.5678,0.1215,4.3,23000,21.51000023,72723,5.400000095,33400
Anderson University (Southeast),Private,Southeast,Small City,0.6502,24,1079,2381,0.8202,0.0962,0.0328,0.0101,0.0067,35340,6409,0.3422,0.4138,0.1802,9.6,19500,22.20000076,58707.5,8.300000191,32600
Andrews University,Private,Great Lakes,Fringe Town,0.3751,23,1070,1765,0.2856,0.2232,0.1337,0.1258,0.0028,33653,4961,0.3155,0.6036,0.116,7.6,23000,21.67000008,53737,7.929999828,33400
Angelo State University,Public,Southwest,Small City,0.8049,21,965,5430,0.5451,0.0818,0.305,0.0101,0.0048,19511,6867,0.4264,0.2975,0.1407,13.4,11773,21.37999916,43559,11.36999989,34500
Anna Maria College,Private,New England,Fringe Rural,0.7756,,,1135,0.7198,0.0784,0.067,0.0106,0.0035,42770,3553,0.3655,0.469,0.2948,10,18125,21.17000008,67437,6.579999924,36000
Appalachian State University,Public,Southeast,Distant Town,0.6323,26,1156,15840,0.8612,0.0306,0.0419,0.0136,0.0025,17780,7657,0.259,0.6857,0.0734,4.8,15635,20.68000031,69100,6.860000134,33600
Aquinas College,Private,Great Lakes,Mid-size City,0.7135,24,1090,1843,0.8486,0.032,0.0521,0.0081,0.0049,34593,5972,0.3356,0.5976,0.1106,9.2,19474,21.71999931,72085,6.289999962,31200
Arcadia University,Private,Mid-Atlantic,Large Suburb,0.5969,25,1095,2400,0.7338,0.0846,0.0558,0.0463,0.0025,48907,7962,0.337,0.605,0.0775,4.9,22000,20.35000038,76319,5.78000021,38100
Arizona State University-Downtown Phoenix,Public,Southwest,Large City,0.757,24,1085,8555,0.5476,0.06,0.2701,0.0456,0.0243,22909,8746,0.4245,0.4732,0.1986,8.5,16250,,,,
Arizona State University-Polytechnic,Public,Southwest,Large City,0.7479,24,1106,3305,0.6054,0.0375,0.1894,0.052,0.0194,21256,8042,0.4074,0.5505,0.33,8.5,16250,22.55999947,43477,7.710000038,
Arizona State University-Tempe,Public,Southwest,Mid-size City,0.8023,25,1145,38480,0.5755,0.0398,0.1853,0.0677,0.0136,21960,10405,0.3376,0.5947,0.1414,8.5,16250,22.55999947,43477,7.710000038,41200
Arizona State University-West,Public,Southwest,Large City,0.759,23,1073,3243,0.5492,0.0577,0.2683,0.0496,0.0176,20269,8293,0.4954,0.5519,0.3223,8.5,16250,22.55999947,43477,7.710000038,
Arkansas State University-Main Campus,Public,Southeast,Small City,0.7551,24,1088,9325,0.7302,0.1466,0.0203,0.0075,0.0039,18809,6957,0.4618,0.3698,0.224,14.6,13300,23.97999954,27550,13.39000034,29100
Arkansas Tech University,Public,Southeast,Remote Town,0.8503,22,1008,8734,0.7901,0.0781,0.0503,0.0129,0.0124,16126,6096,0.4559,0.4025,0.2436,17.4,10043,23.04999924,31932,11.60999966,30600
Armstrong Atlantic State University,Public,Southeast,Mid-size City,0.6998,21,997,6206,0.5947,0.2425,0.0661,0.0353,0.0024,19802,5620,0.434,0.343,0.2917,8.3,12750,24.45000076,34921,10.31000042,36300
Art Center College of Design,Private,Far West,Mid-size City,0.8167,,,1742,0.2153,0.0115,0.1051,0.3456,0.0011,56400,6826,0.3687,0.6436,0.3039,7.2,31000,23.54000092,28815,9.149999619,48400
Asbury University,Private,Southeast,Fringe Town,0.6573,24,1110,1392,0.8348,0.033,0.0151,0.0057,0.0029,33966,5924,0.3896,0.6431,0.1448,5,20325,21.25,68034.5,6.909999847,30200
Ashland University,Private,Great Lakes,Fringe Town,0.7438,23,1043,3118,0.7886,0.1334,0.0241,0.0045,0.0055,40835,6922,0.2861,0.5634,0.237,4.7,21500,23.05999947,63187.5,5.880000114,36300
Assumption College,Private,New England,Mid-size City,0.7422,,,2181,0.7066,0.0454,0.0715,0.0197,0.0018,46763,7852,0.2297,0.7273,0.0781,3.5,24931,19.63999939,103026,4.75,47900
Auburn University,Public,Southeast,Small City,0.8274,27,1215,19761,0.8543,0.0714,0.0253,0.0213,0.0077,23788,9429,0.1687,0.6792,0.0415,6.1,18250,20.32999992,71775.5,9.590000153,41800
Auburn University at Montgomery,Public,Southeast,Mid-size City,0.8371,21,970,4322,0.5532,0.3031,0.0079,0.0245,0.0037,16556,7173,0.4006,0.2705,0.2938,13.1,10750,23.43000031,27378,13,32400
Augsburg College,Private,Great Plains,Large City,0.6086,23,1053,2661,0.6005,0.0928,0.0564,0.0718,0.0128,42531,6868,0.4338,0.6326,0.3108,6,23000,24.37999916,60818,5.050000191,41300
Augustana College (Great Plains),Private,Great Plains,Mid-size City,0.6809,24,1105,1615,0.8712,0.0186,0.0198,0.0087,0.0012,36828,6488,0.2281,0.6643,0.0424,3.3,25249,20.07999992,76993.5,5.679999828,38200
Augustana College (Great Lakes),Private,Great Lakes,Small City,0.5867,,,2504,0.7772,0.0403,0.0611,0.0176,0.0032,45364,7186,0.1929,0.784,0.0115,5.5,25000,19.67000008,88060,4.440000057,42800
Aurora University,Private,Great Lakes,Large Suburb,0.7595,22,1011,3236,0.6143,0.0853,0.2052,0.0213,0.0034,31145,7064,0.3911,0.576,0.1876,6,15000,22.20000076,61464,5.079999924,36600
Austin College,Private,Southwest,Small City,0.5861,25,1181,1206,0.5779,0.0605,0.1567,0.1476,0.0149,45800,7605,0.2842,0.7177,0.0124,2.6,23000,19.64999962,83025,6.789999962,41000
Austin Peay State University,Public,Southeast,Mid-size City,0.8595,22,1009,9271,0.6597,0.1913,0.0554,0.0146,0.004,18852,6879,0.5384,0.3603,0.3501,13.7,15000,24.46999931,30942,8.930000305,31700
Avila University,Private,Great Plains,Large City,0.6108,22,1028,1336,0.6198,0.2006,0.0786,0.0135,0.012,34898,6747,0.4332,0.4912,0.3298,7.9,18750,23.76000023,53028,5.940000057,39500
Azusa Pacific University,Private,Far West,Large Suburb,0.7985,24,1098,6543,0.4966,0.0474,0.2306,0.0827,0.0035,44021,9231,0.2858,0.6486,0.1467,4.1,19000,24.51000023,72335.5,7.949999809,45800
Babson College,Private,New England,Large Suburb,0.2821,28,1258,2106,0.3898,0.0423,0.0997,0.1168,0.0019,58450,14952,0.1613,0.9073,0.009,1,27000,20.28000069,80987,6.510000229,74700
Baker University,Private,Great Plains,Fringe Town,0.869,24,1086,1759,0.7186,0.1086,0.0478,0.0125,0.0205,37485,5758,0.3967,0.52,0.4418,6.1,21353,26.76000023,60418,5.420000076,45500
Baldwin Wallace University,Private,Great Lakes,Large Suburb,0.6396,24,1096,3331,0.807,0.0883,0.0465,0.0087,0.0009,37504,7418,0.333,0.7088,0.1393,3.1,24000,21.38999939,74030,5.179999828,39900
Ball State University,Public,Great Lakes,Small City,0.6054,22,1053,15985,0.8317,0.0673,0.0348,0.0082,0.0009,21101,7305,0.3463,0.5938,0.0715,8.1,18686,20.55999947,73544,5.760000229,35800
Baptist Memorial College of Health Sciences,Private,Southeast,Large City,0.463,25,1125,1101,0.5767,0.3769,0.0054,0.02,0.0009,19745,6442,0.4765,0.3878,0.5059,5.9,21000,25.35000038,41376,9.960000038,50100
Bard College,Private,Mid-Atlantic,Fringe Town,0.3761,,,1957,0.6173,0.0603,0.022,0.0419,0.0077,60280,10804,0.1904,0.7388,0.0129,3.4,20476,19.72999954,86752.5,6.599999905,29400
Barnard College,Private,Mid-Atlantic,Large City,0.2053,30,1340,2486,0.5688,0.0535,0.1114,0.1456,0.0008,59581,11888,0.1841,0.8966,0.0048,2.4,16000,19.23999977,77701,8.739999771,46900
Barry University,Private,Southeast,Large Suburb,0.4678,19,930,4284,0.2017,0.32,0.2937,0.0135,0.0028,41019,7696,0.5181,0.3729,0.4361,5.7,21500,27.72999954,37767.5,11.28999996,42200
Barton College,Private,Southeast,Fringe Town,0.4177,20,939,1043,0.5877,0.2464,0.0403,0.0077,0.0058,37437,5838,0.4955,0.4839,0.2271,9.2,21500,24.12999916,43763.5,10.57999992,33800
Bates College,Private,New England,Small City,0.2417,,,1791,0.7219,0.0514,0.0625,0.0469,0.0034,59285,10374,0.1112,0.9299,0.0034,1.4,16425,19.54999924,106531,5.800000191,47600
Bay Path College,Private,New England,Large Suburb,0.576,20,964,1454,0.586,0.1183,0.1534,0.0144,0.0007,40447,7754,0.5289,0.555,0.5329,7.5,18065,27.28000069,45278,7.980000019,37500
Bayamon Central University,Private,Outlying Areas,Large Suburb,0.7368,,,1654,,0.006,0.994,,,11573,2630,0.7144,0.2752,0.2849,16.4,5500,23.46999931,12591,40.34000015,17400
Baylor University,Private,Southwest,Mid-size City,0.5747,27,1215,13221,0.6408,0.0741,0.1386,0.0646,0.0033,51086,8793,0.22,0.7472,0.0245,4.8,21000,19.79999924,72163,7.460000038,43700
Becker College,Private,New England,Mid-size City,0.6255,22,1006,1871,0.667,0.0775,0.0951,0.0139,0.0021,44041,7308,0.3888,0.3069,0.2645,14.9,15750,24.10000038,54112,7.159999847,36300
Belhaven University,Private,Southeast,Mid-size City,0.4842,22,1033,2487,0.3848,0.4451,0.0555,0.0133,0.0044,33375,4327,0.5109,0.3983,0.5435,5.6,19500,29.38999939,36084,11.52000046,33100
Bellarmine University,Private,Southeast,Large City,0.9478,25,1116,2508,0.8405,0.0395,0.0343,0.0207,0.0024,47609,7580,0.2264,0.6649,0.0941,5.3,19500,22.22999954,68519,6.369999886,42700
Belmont Abbey College,Private,Southeast,Mid-size Suburb,0.6759,21,977,1634,0.3703,0.2723,0.0184,0.0073,0.0012,39328,4524,0.4613,0.381,0.4347,14,18500,25.79000092,55427,7.170000076,33300
Belmont University,Private,Southeast,Large City,0.7987,27,1193,5465,0.8201,0.0401,0.0428,0.0161,0.0024,41450,8450,0.1756,0.6796,0.0848,1.9,19173,21.15999985,83588,6.179999828,37600
Beloit College,Private,Great Lakes,Small City,0.6769,27,1227,1244,0.7122,0.0466,0.0828,0.0193,0.0048,48236,7161,0.1795,0.7815,0.0107,1,23231.5,19.71999931,90105,5.5,33300
Bemidji State University,Public,Great Plains,Remote Town,0.6678,21,990,4397,0.861,0.0189,0.0155,0.0091,0.0264,18166,7669,0.3557,0.4758,0.2536,8.5,13500,23.07999992,53717,7.739999771,35100
Benedictine College,Private,Great Plains,Distant Town,0.6057,25,1145,1750,0.8023,0.0343,0.06,0.0109,0.004,36805,6165,0.21,0.5922,0.0208,5.5,19500,20.07999992,79145.5,6.650000095,35000
Benedictine University,Private,Great Lakes,Large Suburb,0.695,22,1030,3739,0.4491,0.0968,0.0861,0.1417,0.0024,35481,7686,0.3644,0.5247,0.2709,4.5,17188,24.95000076,53068,4.840000153,43400
Bentley University,Private,New England,Small City,0.4379,28,1234,4172,0.6146,0.0295,0.0686,0.0803,0.001,54806,12158,0.1554,0.8727,0.0231,1,26000,19.65999985,93494,5.03000021,69000
Berea College,Private,Southeast,Distant Town,0.3401,24,1113,1587,0.6446,0.1512,0.0422,0.0151,0.0025,30396,7357,0.8293,0.6167,0.0746,12.8,5496.5,20.04999924,29786.5,12.22999954,29700
Berklee College of Music,Private,New England,Large City,0.3617,,,4402,0.3866,0.0534,0.0888,0.0338,0.0011,56335,9480,0.1889,0.4963,0.1479,13.6,21046,20.79000092,79421,6.550000191,26200
Berry College,Private,Southeast,Small Suburb,0.6032,27,1186,2122,0.845,0.0396,0.0575,0.0108,0.0019,40965,7060,0.2626,0.6015,0.0126,4,15750,19.71999931,71090,6.550000191,34600
Bethel College-Indiana,Private,Great Lakes,Small City,0.7158,24,1047,1579,0.772,0.1248,0.0576,0.0044,0.0019,33617,5506,0.5169,0.6466,0.3396,7.1,18275,25.73999977,54043,6.340000153,33200
Bethel University (Great Plains),Private,Great Plains,Large Suburb,0.9485,25,1144,3178,0.8389,0.0579,0.0198,0.0315,0.0006,42692,7577,0.27,0.7136,0.1991,3.6,20500,22.48999977,82520,3.880000114,41100
Bethel University (Southeast),Private,Southeast,Distant Town,0.5103,20,930,5063,0.507,0.3701,0.0138,0.0051,0.0032,26864,3935,0.607,0.302,0.6778,10.2,14531,29.09000015,37640.5,10.42000008,35200
Bethune-Cookman University,Private,Southeast,Small City,0.666,17,812,3723,0.0223,0.895,0.0282,0.0021,0.0008,27017,5838,0.7762,0.5505,0.0647,16.8,18750,20.20000076,31109,14.28999996,23500
Biola University,Private,Far West,Large Suburb,0.7286,25,1123,4324,0.5481,0.0197,0.1714,0.1589,0.0023,44573,8924,0.3103,0.6819,0.0395,2.2,19688,22.20999908,71594,7.46999979,37600
Birmingham Southern College,Private,Southeast,Mid-size City,0.6422,26,1177,1181,0.8103,0.094,0.0305,0.039,0.0102,44512,7513,0.2136,0.6192,0.0152,9.9,21500,19.62000084,89942.5,7.909999847,38200
Black Hills State University,Public,Great Plains,Distant Town,0.8924,21,993,3156,0.8571,0.0105,0.045,0.0051,0.0383,15906,6666,0.3475,0.3347,0.2841,8,13575,22.42000008,45782.5,9.329999924,31700
Bloomfield College,Private,Mid-Atlantic,Large Suburb,0.5464,,835,1906,0.1207,0.5058,0.2162,0.0378,0.0047,38858,7807,0.6417,0.3642,0.2044,10,18500,24.31999969,32407,12.64000034,33600
Bloomsburg University of Pennsylvania,Public,Mid-Atlantic,Small City,0.8856,21,990,9245,0.8133,0.081,0.0463,0.0088,0.0006,21732,8655,0.3037,0.6182,0.045,6.3,18750,20.23999977,72266.5,6.550000191,39500
Bluefield State College,Public,Southeast,Remote Town,0.4267,19,905,1708,0.8501,0.1036,0.0129,0.0023,0.0012,14940,6170,0.5948,0.2365,0.399,26.8,13000,25.86000061,21135,16.11000061,25700
Boise State University,Public,Rocky Mountains,Mid-size City,0.7766,23,1050,16557,0.7621,0.0157,0.0912,0.0228,0.0069,18227,6905,0.3715,0.3801,0.3182,11.4,16309,24.61000061,33780.5,7.199999809,33000
Boston College,Private,New England,Small City,0.3222,32,1375,9465,0.5797,0.0432,0.1055,0.0937,0.0007,58639,13355,0.1371,0.913,0.024,1.4,19000,20.60000038,81102,5.929999828,61800
Boston University,Private,New England,Large City,0.4561,28,1279,16460,0.4733,0.0323,0.0928,0.1326,0.0007,59036,12360,0.1487,0.8448,0.0317,2,25500,19.95000076,91507,5.769999981,53600
Bowdoin College,Private,New England,Fringe Town,0.1495,32,1423,1789,0.6417,0.047,0.1247,0.0699,0.0011,58200,10803,0.1376,0.9326,0.0028,0.6,18000,19.26000023,89780.5,7.429999828,48600
Bowie State University,Public,Mid-Atlantic,Large Suburb,0.5176,19,886,4313,0.0227,0.8885,0.0276,0.0141,0.0009,18581,7393,0.4873,0.3524,0.2127,16.1,16500,21.25,45228,6.909999847,42600
Bowling Green State University-Main Campus,Public,Great Lakes,Fringe Town,0.7247,22,1009,14161,0.7783,0.1004,0.0409,0.0085,0.0025,22416,7669,0.343,0.541,0.066,11.7,17500,20.81999969,70038,5.980000019,35500
Bradley University,Private,Great Lakes,Mid-size City,0.6694,26,1163,4823,0.79,0.0616,0.0587,0.0344,0.0025,40330,8424,0.2681,0.7563,0.0429,2.9,23677,20.15999985,85839,5.179999828,45000
Brandeis University,Private,New England,Small City,0.3704,30,1347,3603,0.501,0.0516,0.0655,0.1243,0.0006,58850,11328,0.1781,0.8959,0.0077,2.4,26000,19.48999977,97995,5.699999809,47400
Brenau University,Private,Southeast,Small City,0.7829,20,957,1683,0.514,0.3125,0.0636,0.0184,0.0024,34107,6737,0.5206,0.4554,0.5418,5,18638,28.21999931,40713,7.690000057,38100
Bridgewater College,Private,Southeast,Small Suburb,0.5493,23,1033,1822,0.7914,0.0895,0.0302,0.0082,0.0033,41180,6211,0.2672,0.5991,0.0114,6,19500,19.45000076,82400,5.809999943,37500
Bridgewater State University,Public,New England,Large Suburb,0.786,22,991,9489,0.8065,0.0771,0.053,0.0187,0.0022,19303,8315,0.2372,0.5751,0.147,7.9,19250,21.04000092,72560,5.199999809,39100
Brigham Young University-Hawaii,Private,Far West,Fringe Town,0.3604,24,1081,2664,0.3566,0.0034,0.0556,0.036,0.0023,14544,8794,0.2985,0.4703,0.2224,6.9,5780,22.23999977,22339,8.659999847,34100
Brigham Young University-Idaho,Private,Rocky Mountains,Distant Town,0.9963,23,1036,20208,0.8319,0.0055,0.0323,0.0096,0.0033,10438,8206,0.3881,0.6011,0.371,2.9,7725,21.27000046,31581,7.940000057,33800
Brigham Young University-Provo,Private,Rocky Mountains,Mid-size City,0.4942,29,1277,27765,0.8344,0.0047,0.0554,0.0198,0.0041,17174,9649,0.3578,0.7797,0.122,1.3,9260.5,21.70000076,20347,8.039999962,47400
Brown University,Private,New England,Mid-size City,0.0918,32,1425,6182,0.4327,0.0642,0.1084,0.1233,0.0039,58140,13381,0.1444,0.9452,0.0112,1.3,15164,19.78000069,84559,7.269999981,54400
Bryan College-Dayton,Private,Southeast,Distant Town,0.3762,23,1053,1209,0.8619,0.0562,0.0149,0.0033,0.0017,29489,4166,0.3395,0.6154,0.309,6.9,9722,25.87000084,55458.5,8.300000191,35400
Bryant University,Private,New England,Large Suburb,0.7655,25,1137,3263,0.7432,0.042,0.0634,0.042,0.0043,50858,12905,0.1676,0.8198,0.0216,2.5,26706,19.52000046,104089,4.679999828,57800
Bryn Mawr College,Private,Mid-Atlantic,Large Suburb,0.3992,30,1334,1316,0.3739,0.0517,0.095,0.1079,0.0015,57586,9775,0.1861,0.8409,0.0226,1.8,22650,20.48999977,70896,6.710000038,46800
Bucknell University,Private,Mid-Atlantic,Distant Town,0.2951,30,1306,3498,0.787,0.0323,0.0523,0.0366,0.0003,59090,10168,0.1061,0.9076,0.0065,1.3,25000,19.42000008,102976,4.769999981,54800
Buena Vista University,Private,Great Plains,Remote Town,0.6955,23,1050,2125,0.8259,0.0184,0.0518,0.0104,0.0047,39011,6736,0.4897,0.5265,0.3999,7.8,17879,24.87999916,47120.5,6.380000114,36100
Buffalo State SUNY,Public,Mid-Atlantic,Large City,0.4853,,975,9190,0.6294,0.2055,0.093,0.0217,0.0037,18088,7444,0.4594,0.4892,0.1765,8.8,15895.5,22.25,45557,10.48999977,34300
Butler University,Private,Great Lakes,Large City,0.661,28,1212,3998,0.8269,0.0353,0.032,0.0283,0.002,47010,7980,0.1739,0.7386,0.0185,2,25000,20.09000015,99069,4.820000172,50700
Cabrini College,Private,Mid-Atlantic,Large Suburb,0.7428,20,896,1286,0.7154,0.1345,0.0537,0.0124,0.0016,43541,7005,0.308,0.4561,0.0501,5.5,14875,20.44000053,91613,5.139999866,38600
Caldwell College,Private,Mid-Atlantic,Large Suburb,0.6408,21,949,1570,0.1873,0.0497,0.0554,0.0089,0.0006,38223,7944,0.4293,0.5345,0.2186,6.8,19125,24.46999931,50740,6.849999905,38400
California Baptist University,Private,Far West,Large City,0.788,21,984,5797,0.448,0.084,0.3012,0.0497,0.0071,39026,8355,0.4777,0.5808,0.2255,6.7,19500,23.86000061,63947,9.909999847,36600
California College of the Arts,Private,Far West,Large City,0.8157,,,1463,0.3329,0.0403,0.1367,0.1627,0.0027,53837,8347,0.3241,0.6183,0.1751,6.7,24500,23.02000046,37618,7.980000019,30900
California Lutheran University,Private,Far West,Mid-size City,0.4802,24,1108,2882,0.5232,0.0427,0.2523,0.0642,0.0135,48630,9597,0.2578,0.7005,0.1326,3.8,19500,21.72999954,76461,6.489999771,44300
California Maritime Academy,Public,Far West,Mid-size City,0.748,24,1080,1044,0.5785,0.0239,0.1561,0.0824,0.0038,22223,8259,0.3762,0.5871,0.1847,5.8,21500,21.60000038,60317.5,6.380000114,74300
California Polytechnic State University-San Luis Obispo,Public,Far West,Small Suburb,0.3123,28,1242,18664,0.5956,0.0076,0.1489,0.1134,0.0024,23867,8675,0.1975,0.6972,0.0359,3.1,17500,20.39999962,72114,7.159999847,55400
California State Polytechnic University-Pomona,Public,Far West,Large Suburb,0.5218,23,1070,20857,0.2159,0.0323,0.3722,0.2501,0.002,19402,9101,0.4404,0.5237,0.1747,3.8,15703.5,21.73999977,30962,11.09000015,45000
California State University-Bakersfield,Public,Far West,Large City,0.6626,19,901,7226,0.196,0.0656,0.4979,0.065,0.0073,18061,8122,0.5843,0.3946,0.2056,9.6,11000,24.39999962,28069.5,16.38999939,42300
California State University-Channel Islands,Public,Far West,Mid-size Suburb,0.6443,20,954,4950,0.3804,0.0246,0.4147,0.0545,0.0038,22570,8434,0.3959,0.5156,0.1954,5,12500,24.85000038,32103,7.300000191,35800
California State University-Chico,Public,Far West,Small City,0.7161,22,1014,15106,0.5255,0.019,0.23,0.0579,0.0061,22926,8370,0.3893,0.5605,0.1358,7.6,14889.5,22.29000092,37864,9.630000114,41100
California State University-Dominguez Hills,Public,Far West,Small City,0.5747,17,845,11894,0.0931,0.1703,0.5397,0.0943,0.0019,12957,8202,0.5862,0.2935,0.3762,11.2,14191,25.52000046,25199.5,17.81999969,39100
California State University-East Bay,Public,Far West,Mid-size City,0.6872,19,910,12079,0.1843,0.1083,0.2546,0.2439,0.0016,20676,8804,0.4426,0.3808,0.3269,5.8,12500,24.81999969,22898,8.390000343,45800
California State University-Fresno,Public,Far West,Large City,0.5815,19,920,19911,0.2511,0.0404,0.4258,0.1566,0.0038,16377,8027,0.5407,0.4859,0.1628,6.5,14500,22.36000061,28781,16.06999969,38100
California State University-Fullerton,Public,Far West,Large Suburb,0.4579,22,1021,33000,0.2556,0.0222,0.375,0.2165,0.002,16663,8521,0.4061,0.5347,0.1981,5.6,12900.5,22.60000038,31500,9.409999847,40500
California State University-Long Beach,Public,Far West,Large City,0.3082,21,1012,30440,0.214,0.0399,0.3672,0.2292,0.0056,18085,8671,0.4733,0.6033,0.1708,5.5,14494,22.19000053,30725,11.93999958,42400
California State University-Los Angeles,Public,Far West,Large City,0.6752,18,871,19525,0.0812,0.0465,0.5965,0.1645,0.001,14747,8767,0.6447,0.3565,0.2574,7.6,12000.5,24.20999908,20015,17.51000023,39400
California State University-Monterey Bay,Public,Far West,Mid-size Suburb,0.444,21,976,5153,0.3435,0.0638,0.4036,0.0472,0.0052,18479,7478,0.476,0.3828,0.1615,7.6,13750,24.19000053,38387,9.06000042,37100
California State University-Northridge,Public,Far West,Large City,0.4624,19,918,33581,0.2575,0.0623,0.4029,0.1123,0.0017,20899,8395,0.4848,0.4575,0.1936,7.6,12500,22.63999939,27373,12.93999958,38300
California State University-Sacramento,Public,Far West,Large City,0.6968,20,945,25991,0.3247,0.0591,0.2567,0.2086,0.0046,19380,8364,0.505,0.4285,0.2521,7.1,15000,23.13999939,28449,10.14000034,42700
